job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
LabVIEW Developer,Disher,https://www.indeed.com/cmp/Disher,"Holland, MI","In this role, you will design, organize, direct and complete technical work to develop new and existing product validation and verification equipment to support…",Posted22 days ago,Estimated $91.9K – $116K a year
Java Developer Solution Specialist,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)+6 locations","As an experienced Full Stack Java Developer, you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive…",Posted12 days ago,Estimated $73.5K – $93.1K a year
. Net Developer,Htc Global Services Inc.,https://www.indeed.com/cmp/Htc-Global-Service.inc,"Remote in Grand Rapids, MI","Experience in Azure SQL, Azure Cosmos DB, MongoDB, SQL Server 2017, and MySQL.",EmployerActive 9 days ago,Estimated $76.6K – $97K a year
Web Developer,Web Traffic Partners,"https://www.indeed.com/q-Web-Traffic-Partners-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49546",The ideal candidate will be fluent with WordPress and committed to delivering professional level work while being a strong contributing team member.,Posted30+ days ago,Estimated $39.4K – $50K a year
Software Engineer II,E2open,"https://www.indeed.com/cmp/E2open,-Inc.","Holland, MI 49423","With direct management and mentoring of a Senior Software Engineer or higher, a Software Engineer II contributes as a team member for development, unit testing,…",Posted30+ days ago,Estimated $94.4K – $120K a year
Software Developer,Pro-Vision Video Systems,https://www.indeed.com/cmp/Pro--vision-Video-Systems,"Remote in Grand Rapids, MI",PRO-VISION Video Systems is looking for a Software Developer to join their growing company.,Posted15 days ago,Estimated $82.2K – $104K a year
Unity & Unreal Plugin Developer,Recruiting From Scratch,"https://www.indeed.com/q-Recruiting-From-Scratch-l-Kentwood,-MI-jobs.html","Remote in Kentwood, MI","They're developing cross-chain technology to power new gamer-first economies through a SaaS-style offering and looking for individuals who think big, build…",Posted22 days ago,
Software Engineer,Dematic,https://www.indeed.com/cmp/Dematic,"Holland, MI 49424+7 locations",Our attractive and market competitive total rewards packages are designed to reward high performance and to assist in managing your personal and family needs.,Posted30+ days ago,Estimated $75.5K – $95.5K a year
WordPress Developer,DVS,https://www.indeed.com/cmp/Dvs,"Grand Rapids, MI 49503 (Roosevelt Park area)","Working within the Creative team and reporting to the Creative Director, the WordPress Developer is primarily responsible for the build-out of websites and…",Posted28 days ago,Estimated $51.4K – $65K a year
Front End Web Developer,Wolverine Worldwide,https://www.indeed.com/cmp/Wolverine-Worldwide,"Rockford, MI","The Front End Web Developer is responsible for front-end development efforts for assigned brands, including ongoing updates to existing HTML content areas and…",Posted30+ days ago,Estimated $67K – $84.8K a year
